"Model","g","Seed","Geometry","CorrLogKLogCMD","CorrRLogCMD","MatchedFlatCorrRLogCMD","Difference"
"Bardeen",0,1,"Bardeen_g0.00",0.8769100779378313,-0.9465922437642524,0.35337604611491535,-1.2999682898791678
"Bardeen",0,2,"Bardeen_g0.00",0.8849566363184395,-0.9506918674920506,-0.08710390976223757,-0.863587957729813
"Bardeen",0,3,"Bardeen_g0.00",0.9582398951031745,-0.9831805663617955,-0.19998230545571102,-0.7831982609060845
"Bardeen",0,4,"Bardeen_g0.00",0.8921697275644889,-0.954691264760249,0.2798774001346735,-1.2345686648949226
"Bardeen",0,5,"Bardeen_g0.00",0.9010991436207269,-0.965607747495693,0.5556748452639548,-1.5212825927596478
"Bardeen",0,6,"Bardeen_g0.00",0.9041160929612249,-0.9505024927426224,0.2629916089356039,-1.2134941016782264
"Bardeen",0,7,"Bardeen_g0.00",0.9198244113815002,-0.9738358758392687,0.26692846649880125,-1.2407643423380699
"Bardeen",0,8,"Bardeen_g0.00",0.921876776062606,-0.9696308569175013,0.2594693043816791,-1.2291001612991803
"Bardeen",0,9,"Bardeen_g0.00",0.830063229467627,-0.9199987443744142,-0.23021230320587474,-0.6897864411685395
"Bardeen",0,10,"Bardeen_g0.00",0.9262076355902121,-0.9717511160396218,0.36758897043037503,-1.339340086469997
"Bardeen",0.1,1,"Bardeen_g0.10",0.8936773372289396,-0.9564047035393123,0.35337604611491535,-1.3097807496542275
"Bardeen",0.1,2,"Bardeen_g0.10",0.8912873785611956,-0.9534601675530776,-0.08710390976223757,-0.86635625779084
"Bardeen",0.1,3,"Bardeen_g0.10",0.9607438297661922,-0.9836640777913311,-0.19998230545571102,-0.7836817723356201
"Bardeen",0.1,4,"Bardeen_g0.10",0.8992945825190297,-0.9578065035453783,0.2798774001346735,-1.2376839036800518
"Bardeen",0.1,5,"Bardeen_g0.10",0.9091145285011905,-0.969610757637545,0.5556748452639548,-1.5252856029014998
"Bardeen",0.1,6,"Bardeen_g0.10",0.9109289332828473,-0.9537676649692048,0.2629916089356039,-1.2167592739048088
"Bardeen",0.1,7,"Bardeen_g0.10",0.9261569792753543,-0.9770954573041651,0.26692846649880125,-1.2440239238029664
"Bardeen",0.1,8,"Bardeen_g0.10",0.9281784830451077,-0.9724234472518004,0.2594693043816791,-1.2318927516334794
"Bardeen",0.1,9,"Bardeen_g0.10",0.8449427336245273,-0.9295962466978765,-0.23021230320587474,-0.6993839434920018
"Bardeen",0.1,10,"Bardeen_g0.10",0.9327063045804033,-0.9764418569420408,0.36758897043037503,-1.3440308273724157
"Bardeen",0.2,1,"Bardeen_g0.20",0.9076173761585967,-0.9601725346797998,0.35337604611491535,-1.3135485807947151
"Bardeen",0.2,2,"Bardeen_g0.20",0.9089073601390081,-0.9623096852275705,-0.08710390976223757,-0.875205775465333
"Bardeen",0.2,3,"Bardeen_g0.20",0.9692868849012445,-0.9857135414161368,-0.19998230545571102,-0.7857312359604257
"Bardeen",0.2,4,"Bardeen_g0.20",0.9034659680202899,-0.9584426062109557,0.2798774001346735,-1.2383200063456292
"Bardeen",0.2,5,"Bardeen_g0.20",0.9279201729581423,-0.9783418034281296,0.5556748452639548,-1.5340166486920843
"Bardeen",0.2,6,"Bardeen_g0.20",0.9157057446720328,-0.9539444330674935,0.2629916089356039,-1.2169360420030975
"Bardeen",0.2,7,"Bardeen_g0.20",0.940888433276847,-0.983866753211326,0.26692846649880125,-1.2507952197101273
"Bardeen",0.2,8,"Bardeen_g0.20",0.9402642866878205,-0.9764582015109822,0.2594693043816791,-1.2359275058926613
"Bardeen",0.2,9,"Bardeen_g0.20",0.8547580449687744,-0.9332854022738214,-0.23021230320587474,-0.7030730990679467
"Bardeen",0.2,10,"Bardeen_g0.20",0.935676051229907,-0.9769765678029145,0.36758897043037503,-1.3445655382332895
"Bardeen",0.3,1,"Bardeen_g0.30",0.9217745209315433,-0.9665873659353235,0.35337604611491535,-1.3199634120502388
"Bardeen",0.3,2,"Bardeen_g0.30",0.9296851651950377,-0.9725978863474654,-0.08710390976223757,-0.8854939765852278
"Bardeen",0.3,3,"Bardeen_g0.30",0.975786745736652,-0.9853920969533827,-0.19998230545571102,-0.7854097914976716
"Bardeen",0.3,4,"Bardeen_g0.30",0.9194428717291722,-0.9653150677595546,0.2798774001346735,-1.245192467894228
"Bardeen",0.3,5,"Bardeen_g0.30",0.9367134385134407,-0.9801919791118808,0.5556748452639548,-1.5358668243758355
"Bardeen",0.3,6,"Bardeen_g0.30",0.9393848093210535,-0.9685017345286263,0.2629916089356039,-1.2314933434642303
"Bardeen",0.3,7,"Bardeen_g0.30",0.9504582528833252,-0.9870121563105655,0.26692846649880125,-1.2539406228093668
"Bardeen",0.3,8,"Bardeen_g0.30",0.9498595112225001,-0.9794056907702424,0.2594693043816791,-1.2388749951519216
"Bardeen",0.3,9,"Bardeen_g0.30",0.9030974979375309,-0.9617770461605555,-0.23021230320587474,-0.7315647429546808
"Bardeen",0.3,10,"Bardeen_g0.30",0.9553590820971493,-0.9837436475169846,0.36758897043037503,-1.3513326179473597
