"{Bin : 1., rMean : 1.2141928409971385, EstimatorMean : 1.2368168120309664, EstimatorStd : 0.12128579366842046, Count : 44.}"
"{Bin : 2., rMean : 1.5357104029083024, EstimatorMean : 1.2201709051420182, EstimatorStd : 0.09959424418459897, Count : 30.}"
"{Bin : 3., rMean : 1.877716329289095, EstimatorMean : 1.2162250779814914, EstimatorStd : 0.10015499646245452, Count : 49.}"
"{Bin : 4., rMean : 2.212429343496883, EstimatorMean : 1.196399111799167, EstimatorStd : 0.11657004194449541, Count : 28.}"
"{Bin : 5., rMean : 2.5316679873603674, EstimatorMean : 1.219861518618848, EstimatorStd : 0.12233510433214474, Count : 39.}"
"{Bin : 6., rMean : 2.8451336661157813, EstimatorMean : 1.1569149205893376, EstimatorStd : 0.13101356700626052, Count : 41.}"
"{Bin : 7., rMean : 3.1805436398209705, EstimatorMean : 1.1642007257629738, EstimatorStd : 0.11896806509597967, Count : 40.}"
"{Bin : 8., rMean : 3.51583497809983, EstimatorMean : 1.0933362558316209, EstimatorStd : 0.16313227312995635, Count : 38.}"
"{Bin : 9., rMean : 3.8342955065427797, EstimatorMean : 1.1290136508944322, EstimatorStd : 0.1166194876042915, Count : 49.}"
"{Bin : 10., rMean : 4.170693425629522, EstimatorMean : 1.0971758019199287, EstimatorStd : 0.16769325841833066, Count : 57.}"
"{Bin : 11., rMean : 4.489106960334865, EstimatorMean : 1.0669858802222816, EstimatorStd : 0.1315781798945549, Count : 41.}"
"{Bin : 12., rMean : 4.843067564096113, EstimatorMean : 1.040931680368397, EstimatorStd : 0.1482332415630021, Count : 44.}"
