"Seed","N","k","Radius","Bins","MatchedFlatCorrRLogCMD","FlammCorrRLogCMD","Difference"
1,1000,12,3,12,0.4278760231230817,-0.9424017899555485,-1.3702778130786302
2,1000,12,3,12,0.1751428899358596,-0.9261613001054545,-1.101304190041314
3,1000,12,3,12,-0.22684338457205783,-0.9578122061760743,-0.7309688216040164
1,1000,14,3,12,0.7339243409982029,-0.9298840733570699,-1.6638084143552727
2,1000,14,3,12,-0.22658907672988418,-0.9711050907786121,-0.7445160140487279
3,1000,14,3,12,-0.04184829781736717,-0.9812678664424558,-0.9394195686250886
1,1000,16,3,12,0.3533760461149152,-0.9465922437642524,-1.2999682898791676
2,1000,16,3,12,-0.08710390976223757,-0.9506918674920506,-0.863587957729813
3,1000,16,3,12,-0.19998230545571102,-0.9831805663617955,-0.7831982609060845
1,1000,18,3,12,0.6050861075506431,-0.947615803070197,-1.55270191062084
2,1000,18,3,12,0.10235298277225302,-0.9650705867473811,-1.0674235695196341
3,1000,18,3,12,-0.21283404743201756,-0.9836975719781949,-0.7708635245461772
1,1000,20,3,12,0.5261825755174575,-0.9378502979870005,-1.464032873504458
2,1000,20,3,12,0.3919041281877138,-0.9628031056033437,-1.3547072337910575
3,1000,20,3,12,0.19688552364120604,-0.9841777326290038,-1.18106325627021
