"Q","Seed","Geometry","CorrLogKLogCMD","CorrRLogCMD","MatchedFlatCorrRLogCMD","Difference"
0,1,"RN_Q0.00",0.8769100779858859,-0.9465922437642524,0.35337604611491535,-1.2999682898791678
0,2,"RN_Q0.00",0.8849566366131802,-0.9506918674920506,-0.08710390976223757,-0.863587957729813
0,3,"RN_Q0.00",0.9582398948067072,-0.9831805663617955,-0.19998230545571102,-0.7831982609060845
0,4,"RN_Q0.00",0.8921697270196238,-0.954691264760249,0.2798774001346735,-1.2345686648949226
0,5,"RN_Q0.00",0.9010991437794509,-0.965607747495693,0.5556748452639548,-1.5212825927596478
0,6,"RN_Q0.00",0.9041160933857025,-0.9505024927426224,0.2629916089356039,-1.2134941016782264
0,7,"RN_Q0.00",0.9198244110081809,-0.9738358758392687,0.26692846649880125,-1.2407643423380699
0,8,"RN_Q0.00",0.9218767757467804,-0.9696308569175013,0.2594693043816791,-1.2291001612991803
0,9,"RN_Q0.00",0.8300632295416057,-0.9199987443744142,-0.23021230320587474,-0.6897864411685395
0,10,"RN_Q0.00",0.9262076352036361,-0.9717511160396218,0.36758897043037503,-1.339340086469997
0.1,1,"RN_Q0.10",0.892361908795156,-0.9559992671204774,0.35337604611491535,-1.309375313235393
0.1,2,"RN_Q0.10",0.8938359881591375,-0.9558010478951329,-0.08710390976223757,-0.8686971381328953
0.1,3,"RN_Q0.10",0.9611573607992292,-0.9842484878591302,-0.19998230545571102,-0.7842661824034192
0.1,4,"RN_Q0.10",0.8930575010540616,-0.9541716627303032,0.2798774001346735,-1.2340490628649767
0.1,5,"RN_Q0.10",0.9060199448494973,-0.9682641018866243,0.5556748452639548,-1.523938947150579
0.1,6,"RN_Q0.10",0.9096716718354417,-0.9534448867591426,0.2629916089356039,-1.2164364956947464
0.1,7,"RN_Q0.10",0.9241702534167437,-0.9764781644885862,0.26692846649880125,-1.2434066309873875
0.1,8,"RN_Q0.10",0.9266216843865686,-0.9719503661696569,0.2594693043816791,-1.231419670551336
0.1,9,"RN_Q0.10",0.8392482226385917,-0.9263217084193719,-0.23021230320587474,-0.6961094052134972
0.1,10,"RN_Q0.10",0.9308532540669843,-0.97590183532917,0.36758897043037503,-1.343490805759545
0.2,1,"RN_Q0.20",0.9047180966574252,-0.9607649038393503,0.35337604611491535,-1.3141409499542656
0.2,2,"RN_Q0.20",0.9009524479735278,-0.9595613833369476,-0.08710390976223757,-0.87245747357471
0.2,3,"RN_Q0.20",0.9668502313513684,-0.9855022249999426,-0.19998230545571102,-0.7855199195442315
0.2,4,"RN_Q0.20",0.8991888026807252,-0.9579331097927122,0.2798774001346735,-1.2378105099273857
0.2,5,"RN_Q0.20",0.9135145591699516,-0.9717916595955781,0.5556748452639548,-1.5274665048595328
0.2,6,"RN_Q0.20",0.9139618551037696,-0.9552043323356536,0.2629916089356039,-1.2181959412712575
0.2,7,"RN_Q0.20",0.9379232539556099,-0.9836080888294093,0.26692846649880125,-1.2505365553282106
0.2,8,"RN_Q0.20",0.9427227878430027,-0.9795353160522803,0.2594693043816791,-1.2390046204339593
0.2,9,"RN_Q0.20",0.8503857852659017,-0.9331016649048024,-0.23021230320587474,-0.7028893616989277
0.2,10,"RN_Q0.20",0.9344079761414205,-0.9773716032669721,0.36758897043037503,-1.3449605736973471
0.3,1,"RN_Q0.30",0.9138422801569852,-0.9656140168377857,0.35337604611491535,-1.3189900629527012
0.3,2,"RN_Q0.30",0.9227673080584718,-0.9719325799188472,-0.08710390976223757,-0.8848286701566096
0.3,3,"RN_Q0.30",0.972971926565502,-0.9859529848711027,-0.19998230545571102,-0.7859706794153917
0.3,4,"RN_Q0.30",0.9151420130783521,-0.9665884738480092,0.2798774001346735,-1.2464658739826826
0.3,5,"RN_Q0.30",0.931535051566044,-0.9803464203639589,0.5556748452639548,-1.5360212656279137
0.3,6,"RN_Q0.30",0.9309747651380814,-0.966418172635736,0.2629916089356039,-1.22940978157134
0.3,7,"RN_Q0.30",0.9454493735746147,-0.9868567808173233,0.26692846649880125,-1.2537852473161246
0.3,8,"RN_Q0.30",0.943639652145891,-0.9789921949996997,0.2594693043816791,-1.2384614993813787
0.3,9,"RN_Q0.30",0.8919264471435081,-0.9591367099866038,-0.23021230320587474,-0.7289244067807291
0.3,10,"RN_Q0.30",0.9424971692037996,-0.9798118499251831,0.36758897043037503,-1.347400820355558
0.4,1,"RN_Q0.40",0.9341413001832801,-0.9754967932758851,0.35337604611491535,-1.3288728393908005
0.4,2,"RN_Q0.40",0.9323444636562855,-0.9752189181020491,-0.08710390976223757,-0.8881150083398115
0.4,3,"RN_Q0.40",0.9740991509697156,-0.9833464200511944,-0.19998230545571102,-0.7833641145954834
0.4,4,"RN_Q0.40",0.9278649631979937,-0.9722941850681539,0.2798774001346735,-1.2521715852028275
0.4,5,"RN_Q0.40",0.939918049159736,-0.9836202523450281,0.5556748452639548,-1.539295097608983
0.4,6,"RN_Q0.40",0.9362937266108179,-0.9682049117967119,0.2629916089356039,-1.2311965207323157
0.4,7,"RN_Q0.40",0.956316076196202,-0.9898273351190021,0.26692846649880125,-1.2567558016178033
0.4,8,"RN_Q0.40",0.96234841017471,-0.9792293202113018,0.2594693043816791,-1.238698624592981
0.4,9,"RN_Q0.40",0.9112644488173071,-0.9684612029507432,-0.23021230320587474,-0.7382488997448685
0.4,10,"RN_Q0.40",0.9638381260908969,-0.9888948430810075,0.36758897043037503,-1.3564838135113826
